Filename,Tokens,AcademicTerms,AcademicWritingMoves,Character,Citation,CitationAuthority,CitationHedged,ConfidenceHedged,ConfidenceHigh,ConfidenceLow,Contingent,Description,Facilitate,FirstPerson,ForceStressed,Future,InformationChange,InformationChangeNegative,InformationChangePositive,InformationExposition,InformationPlace,InformationReportVerbs,InformationStates,InformationTopics,Inquiry,Interactive,MetadiscourseCohesive,MetadiscourseInteractive,Narrative,Negative,Positive,PublicTerms,Reasoning,Responsibility,Strategic,SyntacticComplexity,Uncertainty,Updates
PHI.G0.19.1.txt,4687,3.2430125880093876,0.17068487305312569,6.422018348623854,0.36270535523789205,0.0,0.0,0.7040751013441433,0.661403883080862,0.04267121826328142,0.874759974397269,1.4508214209515682,0.32003413697461064,0.4693834008960956,1.600170684873053,0.512054619159377,0.2773629187113292,0.02133560913164071,0.2560273095796885,2.9443140601664175,0.04267121826328142,0.7040751013441433,1.1947941113718796,1.6641775122679752,0.36270535523789205,1.322807766161724,1.8988692127160232,0.2773629187113292,3.371026242799232,5.227224237251973,4.331128653723064,2.9016428419031364,2.0695540857691483,0.2133560913164071,1.0454448474503946,11.73458502240239,0.10667804565820355,0.14934926392148495
ENG.G2.01.1.txt,3285,5.1445966514459665,0.06088280060882801,8.158295281582953,0.4870624048706241,0.15220700152207,0.06088280060882801,0.9741248097412482,0.669710806697108,0.0,0.30441400304414,3.135464231354642,0.15220700152207,0.091324200913242,1.552511415525114,0.700152207001522,0.547945205479452,0.30441400304414,0.213089802130898,1.8873668188736683,0.821917808219178,0.517503805175038,0.821917808219178,1.5220700152207,0.4870624048706241,0.821917808219178,1.248097412480974,0.273972602739726,5.601217656012176,3.3789954337899544,2.13089802130898,1.491628614916286,1.1263318112633183,0.06088280060882801,0.45662100456621,14.581430745814309,0.30441400304414,0.3957382039573821
EDU.G0.19.1.txt,2072,8.832046332046332,0.33783783783783783,7.673745173745174,0.2413127413127413,0.09652509652509653,0.0,0.8204633204633204,0.4826254826254826,0.0,0.4343629343629344,3.7162162162162162,0.2413127413127413,1.5444015444015444,1.4961389961389961,0.8687258687258688,0.3861003861003861,0.0,0.2413127413127413,1.7374517374517375,0.04826254826254826,1.2065637065637065,0.9652509652509652,1.5926640926640927,1.1583011583011582,1.2065637065637065,1.0617760617760617,0.14478764478764478,4.777992277992278,1.6409266409266408,1.4478764478764479,0.6274131274131274,0.8204633204633204,0.4826254826254826,1.4961389961389961,11.341698841698841,0.0,0.5308880308880308
POL.G0.45.1.txt,2735,4.387568555758683,0.5484460694698354,3.583180987202925,0.6215722120658135,0.07312614259597806,0.03656307129798903,0.6215722120658135,0.29250457038391225,0.0,0.40219378427787933,1.4990859232175504,0.3656307129798903,0.18281535648994515,0.8409506398537478,0.18281535648994515,0.6581352833638026,0.0,0.25594149908592323,3.692870201096892,1.6087751371115173,0.7312614259597806,1.206581352833638,1.206581352833638,0.21937842778793418,1.243144424131627,1.13345521023766,0.3290676416819013,4.095063985374772,3.8756855575868374,2.9250457038391224,3.40036563071298,3.436928702010969,0.18281535648994515,1.170018281535649,11.188299817184644,0.03656307129798903,0.5484460694698354
PSY.G0.16.1.txt,2627,8.564902931100114,1.3703844689760183,6.699657403882756,0.07613247049866768,0.34259611724400457,0.0,0.9516558812333461,0.22839741149600304,0.0,0.6851922344880091,3.9208222306813854,0.49486105824133997,0.0,0.41872858774267224,0.15226494099733537,0.34259611724400457,0.03806623524933384,0.0,5.976398934145413,0.22839741149600304,0.6090597639893415,0.30452988199467074,2.9691663494480394,1.218119527978683,0.1903311762466692,1.180053292729349,0.34259611724400457,4.6821469356680625,1.4845831747240197,1.446516939474686,0.41872858774267224,1.1419870574800153,0.0,1.2561857632280167,13.66577845451085,0.15226494099733537,0.1903311762466692
NUR.G0.11.1.txt,6540,5.9327217125382266,1.146788990825688,5.825688073394495,1.0244648318042813,0.3211009174311927,0.0,0.6422018348623854,0.290519877675841,0.01529051987767584,0.3669724770642202,3.2874617737003056,0.5963302752293578,0.1529051987767584,1.529051987767584,0.24464831804281345,0.764525993883792,0.045871559633027525,0.21406727828746178,3.0275229357798166,0.03058103975535168,1.7584097859327217,0.7339449541284404,2.6452599388379205,0.7798165137614679,0.27522935779816515,1.6819571865443423,0.24464831804281345,7.64525993883792,2.1406727828746175,2.186544342507645,0.41284403669724773,1.146788990825688,0.10703363914373089,0.8409785932721712,10.290519877675841,0.16819571865443425,0.42813455657492355
ENG.G0.33.1.txt,2794,3.614889047959914,0.03579098067287043,6.728704366499643,0.4652827487473156,0.25053686471009307,0.07158196134574087,0.8231925554760201,0.8589835361488906,0.0,0.39370078740157477,3.579098067287044,0.17895490336435219,0.25053686471009307,2.2548317823908373,0.28632784538296346,0.5010737294201861,0.21474588403722264,0.28632784538296346,2.1474588403722263,0.17895490336435219,0.6800286327845383,1.0021474588403723,1.0021474588403723,0.4652827487473156,1.1453113815318539,1.6463851109520402,0.4294917680744453,4.617036506800287,6.406585540443809,2.6843235504652827,0.7158196134574087,1.4316392269148175,0.21474588403722264,0.8589835361488906,10.486757337151039,0.28632784538296346,0.35790980672870437
PSY.G2.02.2.txt,3109,10.61434544869733,0.5789642972016726,5.757478288838855,0.8041170794467675,0.3859761981344484,0.0964940495336121,1.0292698616918623,0.3859761981344484,0.0,0.3538115149565777,4.213573496301062,0.9327758121582503,0.0,1.0935992280476037,0.1286587327114828,0.836281762624638,0.0,0.32164683177870695,3.248633000964941,0.0321646831778707,0.7397877130910261,0.8684464458025087,1.6403988420714055,1.2865873271148278,0.2573174654229656,1.8333869411386299,0.0321646831778707,4.149244129945321,1.1257639112254743,2.026375040205854,0.48247024766806046,1.8977163074943713,0.1286587327114828,1.0292698616918623,12.061756191701512,0.0964940495336121,0.2251527822450949
PHI.G0.06.2.txt,1532,2.8067885117493474,0.0,5.678851174934726,0.3263707571801566,0.39164490861618795,0.0,1.0443864229765014,0.6527415143603132,0.0,0.26109660574412535,1.2402088772845952,0.13054830287206268,0.3263707571801566,3.524804177545692,0.5221932114882507,0.19582245430809397,0.0,0.0,4.89556135770235,0.19582245430809397,0.39164490861618795,1.6971279373368149,0.5874673629242819,0.26109660574412535,1.6318537859007836,1.8276762402088773,0.8485639686684074,1.6318537859007836,5.87467362924282,2.741514360313316,0.45691906005221933,1.4360313315926894,0.0,4.699738903394255,11.684073107049608,0.13054830287206268,0.19582245430809397
NRE.G0.05.1.txt,3891,5.0115651503469545,0.3341043433564636,4.754561809303521,0.6425083526085839,0.2827036751477769,0.0,0.6682086867129272,0.5911076843998971,0.02570033410434336,0.2570033410434336,6.168080185042406,0.8224106913389875,0.05140066820868672,1.7990233873040349,0.15420200462606012,0.4626060138781804,0.07710100231303006,0.1799023387304035,3.28964276535595,0.20560267283474687,0.8738113595476741,1.0280133641737343,2.3901310717039324,0.359804677460807,0.3855050115651504,1.7733230531996915,0.2313030069390902,4.13775379079928,2.492932408121306,3.109740426625546,2.3901310717039324,0.6425083526085839,0.15420200462606012,1.8761243896170652,11.333847340015419,0.05140066820868672,0.5140066820868672
