Filename,Tokens,AcademicTerms,AcademicWritingMoves,Character,Citation,CitationAuthority,CitationHedged,ConfidenceHedged,ConfidenceHigh,ConfidenceLow,Contingent,Description,Facilitate,FirstPerson,ForceStressed,Future,InformationChange,InformationChangeNegative,InformationChangePositive,InformationExposition,InformationPlace,InformationReportVerbs,InformationStates,InformationTopics,Inquiry,Interactive,MetadiscourseCohesive,MetadiscourseInteractive,Narrative,Negative,Positive,PublicTerms,Reasoning,Responsibility,Strategic,Uncertainty,Updates,Group
PHI.G0.15.1.txt,1279,0.026583268178264268,0.001563721657544957,0.04143862392494136,0.0023455824863174357,0.001563721657544957,0.0,0.011727912431587178,0.011727912431587178,0.001563721657544957,0.009382329945269743,0.0109460516028147,0.003909304143862392,0.004691164972634871,0.023455824863174355,0.003909304143862392,0.001563721657544957,0.0007818608287724785,0.003127443315089914,0.0328381548084441,0.0,0.019546520719311962,0.01563721657544957,0.023455824863174355,0.0023455824863174357,0.01641907740422205,0.020328381548084442,0.003909304143862392,0.03831118060985145,0.04847537138389367,0.028146989835809225,0.0109460516028147,0.03205629397967162,0.001563721657544957,0.014855355746677092,0.0,0.007036747458952306,
PHI.G0.16.1.txt,2294,0.04141238012205754,0.005666957279860506,0.06277244986922406,0.004359197907585004,0.003051438535309503,0.0,0.010897994768962511,0.003051438535309503,0.0,0.007846556233653008,0.03138622493461203,0.0017436791630340018,0.0026155187445510027,0.014821272885789015,0.0052310374891020054,0.002179598953792502,0.0008718395815170009,0.0,0.04882301656495205,0.0052310374891020054,0.00959023539668701,0.008282476024411508,0.018744551002615517,0.0013077593722755014,0.006538796861377506,0.017000871839581516,0.004795117698343505,0.03051438535309503,0.018744551002615517,0.036617262423714034,0.025283347863993024,0.03530950305143853,0.0026155187445510027,0.006974716652136007,0.00043591979075850045,0.0026155187445510027,
PHI.G0.17.1.txt,1580,0.0620253164556962,0.002531645569620253,0.02088607594936709,0.00569620253164557,0.0006329113924050633,0.0,0.026582278481012658,0.006962025316455696,0.0006329113924050633,0.006329113924050633,0.09050632911392405,0.0006329113924050633,0.002531645569620253,0.015822784810126583,0.0031645569620253164,0.02531645569620253,0.0,0.0,0.029746835443037974,0.0018987341772151898,0.006329113924050633,0.01139240506329114,0.002531645569620253,0.00949367088607595,0.010759493670886076,0.02911392405063291,0.00949367088607595,0.030379746835443037,0.017721518987341773,0.00949367088607595,0.0037974683544303796,0.02278481012658228,0.0,0.004430379746835443,0.002531645569620253,0.0031645569620253164,
PHI.G0.17.2.txt,1795,0.02395543175487465,0.0038997214484679664,0.026740947075208913,0.012813370473537604,0.0,0.001671309192200557,0.04401114206128134,0.012256267409470752,0.0038997214484679664,0.006685236768802228,0.02116991643454039,0.0022284122562674096,0.002785515320334262,0.020055710306406686,0.0005571030640668524,0.0005571030640668524,0.0,0.0,0.055710306406685235,0.0,0.006128133704735376,0.0072423398328690805,0.004456824512534819,0.010584958217270195,0.0072423398328690805,0.025069637883008356,0.005013927576601671,0.0350974930362117,0.03175487465181059,0.010027855153203343,0.041225626740947076,0.03119777158774373,0.0,0.006685236768802228,0.0022284122562674096,0.004456824512534819,
PHI.G0.18.1.txt,1548,0.0755813953488372,0.0012919896640826874,0.0665374677002584,0.007751937984496124,0.0006459948320413437,0.0,0.003229974160206718,0.0103359173126615,0.002583979328165375,0.004521963824289405,0.020025839793281652,0.0006459948320413437,0.0006459948320413437,0.012919896640826873,0.0,0.0006459948320413437,0.0,0.0006459948320413437,0.040051679586563305,0.008397932816537468,0.011627906976744186,0.015503875968992248,0.006459948320413436,0.00904392764857881,0.003229974160206718,0.013565891472868217,0.004521963824289405,0.028423772609819122,0.014857881136950904,0.029715762273901807,0.002583979328165375,0.040697674418604654,0.0006459948320413437,0.005813953488372093,0.0012919896640826874,0.0012919896640826874,
PHI.G0.18.2.txt,1824,0.07346491228070176,0.0,0.044407894736842105,0.011513157894736841,0.0027412280701754384,0.0005482456140350877,0.008771929824561403,0.006030701754385965,0.0005482456140350877,0.01918859649122807,0.009868421052631578,0.001644736842105263,0.0,0.01206140350877193,0.0021929824561403508,0.001644736842105263,0.0,0.001644736842105263,0.02905701754385965,0.0027412280701754384,0.006030701754385965,0.013706140350877192,0.00932017543859649,0.005482456140350877,0.003289473684210526,0.015899122807017545,0.001644736842105263,0.046052631578947366,0.029605263157894735,0.02631578947368421,0.007675438596491228,0.03782894736842105,0.006578947368421052,0.012609649122807017,0.0010964912280701754,0.001644736842105263,
PHI.G0.19.1.txt,4699,0.032347307937859116,0.0017024898914662695,0.06150244732921898,0.0036177910193658227,0.0,0.0,0.0072355820387316454,0.006597148329431794,0.00042562247286656737,0.008938071930197914,0.014471164077463291,0.003192168546499255,0.004469035965098957,0.015960842732496275,0.005107469674398808,0.002766546073632688,0.00021281123643328368,0.002553734837199404,0.02958076186422643,0.00042562247286656737,0.007022770802298362,0.011917429240263885,0.01681208767822941,0.003404979782932539,0.013407107895296871,0.019365822515428815,0.002766546073632688,0.03362417535645882,0.05256437539902107,0.043200680995956586,0.028942328154926582,0.0208555011704618,0.0021281123643328366,0.010214939348797617,0.0010640561821664183,0.0014896786550329857,
PHI.G1.01.1.txt,2957,0.05410889414947582,0.0013527223537368955,0.045316198850186,0.01048359824146094,0.0016909029421711193,0.00033818058843422386,0.01826175177544809,0.0074399729455529254,0.0,0.0074399729455529254,0.045316198850186,0.0010145417653026716,0.012512681772066284,0.013189042948934731,0.00439634764964491,0.0006763611768684477,0.0,0.0006763611768684477,0.040581670612106865,0.004058167061210686,0.0057490700033818055,0.021981738248224553,0.008454514710855596,0.0057490700033818055,0.008116334122421373,0.021305377071356105,0.011159959418329387,0.026378085897869462,0.01927629354075076,0.011159959418329387,0.01657084883327697,0.022658099425093,0.00033818058843422386,0.008454514710855596,0.0,0.002705444707473791,
PHI.G1.02.1.txt,6061,0.10130341527800693,0.003629764065335753,0.02210856294340868,0.009074410163339383,0.0006599571027883187,0.0,0.01022933509321894,0.012374195677280977,0.00032997855139415937,0.013199142055766375,0.013199142055766375,0.0028048176868503546,0.0028048176868503546,0.017653852499587525,0.0049496782709123905,0.0011549249298795578,0.0,0.0006599571027883187,0.03200791948523346,0.0014849034812737172,0.006269592476489028,0.01567398119122257,0.006269592476489028,0.01105428147170434,0.018148820326678767,0.018808777429467086,0.007259528130671506,0.023923444976076555,0.020788648737832042,0.0202936809107408,0.006104603200791948,0.024913380630259035,0.0016498927569707968,0.01022933509321894,0.004124731892426992,0.0024748391354561953,
PHI.G1.02.2.txt,3991,0.04209471310448509,0.0015033826108744675,0.03006765221748935,0.009771986970684038,0.0005011275369581559,0.0,0.01453269857178652,0.014031571034828364,0.00025056376847907793,0.016036081182660988,0.01804059133049361,0.0010022550739163117,0.008769731896767727,0.025808068153345028,0.002756201453269857,0.0020045101478326235,0.0,0.00025056376847907793,0.041343021799047856,0.005261839138060637,0.0017539463793535455,0.017790027562014532,0.003507892758707091,0.008268604359809572,0.020045101478326235,0.019543973941368076,0.009771986970684038,0.02305186670007517,0.02054622901528439,0.020045101478326235,0.005512402906539714,0.029566524680531194,0.0005011275369581559,0.008018040591330494,0.0012528188423953897,0.0017539463793535455,
